Request id,Pickup point,Drop point,Request timestamp,Start timestamp,Drop timestamp,Trip Cost,Extra Tip,Driver id,Trip Status,Ride Type,Payment Method,Weather
4407,Electronic City,Bangalore City Railway Station,2021-07-13 0:57:01,2021-07-13 1:06:19,2021-07-13 1:27:01,961.47,40,37,Trip Completed,UberGo,Cash,Rainy
4408,Embassy Tech Village,Bangalore Palace,2021-07-13 0:59:51,,,0,0,,No Cars Available,UberX,,Clear
4409,HSR Layout,Brigade Road,2021-07-13 1:03:02,2021-07-13 1:14:51,2021-07-13 3:00:02,140.38,0,83,Trip Completed,UberX,Cash,Clear
4410,Koramangala Boho Street,Indiranagar,2021-07-13 1:04:42,2021-07-13 1:14:49,2021-07-13 1:34:42,112.38,0,12,Trip Completed,UberGo,Card,Cloudy
4411,Indiranagar,BTM Layout,2021-07-13 1:09:58,2021-07-13 1:13:23,2021-07-13 2:43:58,150.38,0,8,Trip Completed,UberGo,UPI,Clear
4412,Church Street,Bangalore Palace,2021-07-13 1:12:24,2021-07-13 1:18:36,2021-07-13 1:49:24,68.88,25,2,Trip Completed,UberGo,Card,Clear
4413,Whitefield,Brigade Road,2021-07-13 1:12:32,2021-07-13 1:26:26,2021-07-13 1:49:32,243.38,25,15,Trip Completed,UberXL,Cash,Cloudy
4414,ISKCON Temple,Church Street,2021-07-13 1:15:29,2021-07-13 1:17:50,2021-07-13 2:59:29,158.5,0,65,Trip Completed,UberXL,Card,Clear
4415,ISKCON Temple,Majestic Bus Station,2021-07-13 1:17:55,2021-07-13 1:23:00,2021-07-13 2:35:55,97.88,25,3,Trip Completed,UberXL,Cash,Cloudy
4416,Kempegowda International Airport (KIAL),Cubbon Park,2021-07-13 1:21:14,2021-07-13 1:22:28,2021-07-13 1:49:14,439.25,40,86,Trip Completed,UberX,UPI,Cloudy
4417,UB City,BTM Layout,2021-07-13 1:22:32,2021-07-13 1:26:30,2021-07-13 2:40:32,137.63,0,21,Trip Completed,UberXL,UPI,Clear
4418,Kormangala Police Station,Phoenix Marketcity,2021-07-13 1:27:34,,,0,0,,Trip Cancelled,UberX,,Clear
4419,Koramangala Boho Street,Ejipura,2021-07-13 1:44:02,2021-07-13 1:46:22,2021-07-13 2:07:02,53.25,0,17,Trip Completed,UberX,Cash,Clear
4420,Bangalore Palace,Majestic Bus Station,2021-07-13 1:46:42,2021-07-13 2:00:57,2021-07-13 2:53:42,66.13,25,39,Trip Completed,UberXL,Card,Clear
4421,Kormangala Police Station,Electronic City,2021-07-13 1:47:28,,,0,0,,Trip Cancelled,UberX,,Clear
4422,Church Street,Phoenix Marketcity,2021-07-13 1:52:50,2021-07-13 1:57:57,2021-07-13 2:07:50,514.35,25,40,Trip Completed,UberXL,Cash,Rainy
4423,KR Puram Railway Station,Embassy Tech Village,2021-07-13 1:53:20,2021-07-13 1:59:07,2021-07-13 3:26:20,181,25,71,Trip Completed,UberXL,Cash,Clear
4424,Lalbagh Botanical Garden,HSR Layout,2021-07-13 1:56:49,2021-07-13 1:58:00,2021-07-13 3:35:49,415.53,25,45,Trip Completed,UberGo,Card,Rainy
4425,Majestic Bus Station,Indiranagar,2021-07-13 1:58:14,2021-07-13 2:08:39,2021-07-13 3:29:14,143.38,0,89,Trip Completed,UberXL,UPI,Cloudy
4426,Cubbon Park,BTM Layout,2021-07-13 2:00:13,2021-07-13 2:05:42,2021-07-13 2:17:13,155.5,0,40,Trip Completed,UberGo,Cash,Clear
4427,Manyata Tech Park,ISKCON Temple,2021-07-13 2:06:39,2021-07-13 2:21:18,2021-07-13 2:26:39,171,0,4,Trip Completed,UberXL,Card,Clear
4428,UB City,BTM Layout,2021-07-13 2:10:23,2021-07-13 2:17:28,2021-07-13 2:28:23,137.63,0,9,Trip Completed,UberXL,UPI,Clear
4429,MG Road,Kempegowda International Airport (KIAL),2021-07-13 2:13:21,2021-07-13 2:23:45,2021-07-13 2:52:21,450.75,0,36,Trip Completed,UberGo,Card,Cloudy
4430,Orion Mall,Koramangala Boho Street,2021-07-13 2:16:38,,,0,0,97,Trip Cancelled,UberGo,,Rainy
4431,BTM Layout,Orion Mall,2021-07-13 2:18:57,2021-07-13 2:28:08,2021-07-13 3:26:57,739.13,25,4,Trip Completed,UberXL,Cash,Rainy
4432,Phoenix Marketcity,Kormangala Police Station,2021-07-13 2:22:00,,,0,0,,No Cars Available,UberX,,Clear
4433,UB City,KR Puram Railway Station,2021-07-13 2:26:30,2021-07-13 2:34:09,2021-07-13 3:45:30,205.75,25,31,Trip Completed,UberGo,Cash,Clear
4434,Whitefield,Lalbagh Botanical Garden,2021-07-13 2:27:48,2021-07-13 2:35:24,2021-07-13 3:21:48,277,25,19,Trip Completed,UberX,Card,Clear
4435,Bangalore City Railway Station,Lalbagh Botanical Garden,2021-07-13 2:31:27,2021-07-13 2:40:37,2021-07-13 3:55:27,94.88,25,70,Trip Completed,UberX,Cash,Clear
4436,Lalbagh Botanical Garden,Cubbon Park,2021-07-13 2:33:50,2021-07-13 2:40:08,2021-07-13 2:48:50,73.13,25,4,Trip Completed,UberX,Card,Cloudy
4437,Bangalore Palace,Majestic Bus Station,2021-07-13 2:35:47,,,0,0,25,Trip Cancelled,UberGo,,Clear
4438,Brigade Road,Manyata Tech Park,2021-07-13 2:35:52,2021-07-13 2:43:38,2021-07-13 3:15:52,203.88,25,54,Trip Completed,UberX,Cash,Cloudy
4439,MG Road,Bangalore City Railway Station,2021-07-13 2:36:56,,,0,0,,No Cars Available,UberGo,,Clear
4440,BTM Layout,MG Road,2021-07-13 2:37:05,2021-07-13 2:48:15,2021-07-13 3:01:05,397.71,0,39,Trip Completed,UberX,UPI,Rainy
4441,Bangalore City Railway Station,Cubbon Park,2021-07-13 2:37:50,2021-07-13 2:40:33,2021-07-13 4:34:50,206.55,25,38,Trip Completed,UberXL,UPI,Rainy
4442,Church Street,Orion Mall,2021-07-13 2:38:06,2021-07-13 2:39:07,2021-07-13 3:49:06,136.75,0,61,Trip Completed,UberXL,Card,Clear
4443,Phoenix Marketcity,Electronic City,2021-07-13 2:38:48,2021-07-13 2:49:10,2021-07-13 4:35:48,366.5,40,11,Trip Completed,UberGo,Card,Clear
4444,Church Street,Koramangala Boho Street,2021-07-13 2:43:10,2021-07-13 2:51:53,2021-07-13 4:14:10,85.25,25,35,Trip Completed,UberXL,Card,Cloudy
4445,Cubbon Park,Phoenix Marketcity,2021-07-13 2:43:44,2021-07-13 2:46:27,2021-07-13 3:02:44,192.38,25,91,Trip Completed,UberXL,Cash,Clear
4446,Ejipura,UB City,2021-07-13 2:48:50,2021-07-13 3:01:00,2021-07-13 3:48:50,121.5,0,74,Trip Completed,UberX,Card,Clear
4447,Electronic City,Whitefield,2021-07-13 2:55:58,2021-07-13 3:05:43,2021-07-13 3:11:58,382.63,40,90,Trip Completed,UberGo,Cash,Clear
4448,Embassy Tech Village,Bangalore City Railway Station,2021-07-13 2:56:33,,,0,0,78,Trip Cancelled,UberX,,Rainy
4449,Electronic City,HSR Layout,2021-07-13 2:57:40,2021-07-13 3:11:30,2021-07-13 3:46:40,188.63,25,30,Trip Completed,UberX,UPI,Cloudy
4450,Cubbon Park,MG Road,2021-07-13 3:07:37,,,0,0,40,Trip Cancelled,UberX,,Rainy
4451,HSR Layout,Bangalore Palace,2021-07-13 3:10:02,2021-07-13 3:23:33,2021-07-13 3:32:02,186.63,25,30,Trip Completed,UberX,UPI,Cloudy
4452,Indiranagar,Brigade Road,2021-07-13 3:12:16,2021-07-13 3:17:08,2021-07-13 4:40:16,239.36,25,19,Trip Completed,UberX,Cash,Rainy
4453,ISKCON Temple,BTM Layout,2021-07-13 3:13:48,,,0,0,5,Trip Cancelled,UberX,,Clear
4454,Phoenix Marketcity,Koramangala Boho Street,2021-07-13 3:14:15,2021-07-13 3:22:49,2021-07-13 4:27:15,675.95,25,11,Trip Completed,UberX,Cash,Rainy
4455,Kempegowda International Airport (KIAL),Church Street,2021-07-13 3:14:45,,,0,0,,No Cars Available,UberGo,,Rainy
4456,Phoenix Marketcity,Bangalore Palace,2021-07-13 3:17:00,,,0,0,21,Trip Cancelled,UberXL,,Cloudy
4457,Koramangala Boho Street,Cubbon Park,2021-07-13 3:19:02,2021-07-13 3:25:45,2021-07-13 5:05:02,118.75,0,39,Trip Completed,UberX,UPI,Cloudy
4458,Cubbon Park,ISKCON Temple,2021-07-13 3:24:24,2021-07-13 3:30:36,2021-07-13 5:10:24,423.23,25,45,Trip Completed,UberX,UPI,Rainy
4459,Kormangala Police Station,Ejipura,2021-07-13 3:30:39,2021-07-13 3:37:40,2021-07-13 4:24:39,51,0,67,Trip Completed,UberX,Cash,Cloudy
4460,KR Puram Railway Station,Electronic City,2021-07-13 3:33:25,2021-07-13 3:43:18,2021-07-13 5:12:25,410.38,40,45,Trip Completed,UberX,Cash,Cloudy
4461,Lalbagh Botanical Garden,Embassy Tech Village,2021-07-13 3:33:57,,,0,0,91,Trip Cancelled,UberX,,Cloudy
4462,Majestic Bus Station,HSR Layout,2021-07-13 3:35:22,2021-07-13 3:42:13,2021-07-13 3:56:22,194.75,25,45,Trip Completed,UberX,Cash,Cloudy
4463,Manyata Tech Park,Indiranagar,2021-07-13 3:37:10,,,0,0,18,Trip Cancelled,UberXL,,Cloudy
4464,HSR Layout,Bangalore Palace,2021-07-13 3:37:35,,,0,0,,Trip Cancelled,UberXL,,Rainy
4465,MG Road,ISKCON Temple,2021-07-13 3:41:42,2021-07-13 3:51:06,2021-07-13 4:34:42,142.13,0,13,Trip Completed,UberX,UPI,Cloudy
4466,Orion Mall,Kempegowda International Airport (KIAL),2021-07-13 3:44:25,,,0,0,59,Trip Cancelled,UberXL,,Clear
4467,Phoenix Marketcity,Koramangala Boho Street,2021-07-13 3:46:37,2021-07-13 3:59:09,2021-07-13 4:42:37,675.95,25,92,Trip Completed,UberGo,Cash,Rainy
4468,Orion Mall,Bangalore City Railway Station,2021-07-13 3:48:21,2021-07-13 4:01:05,2021-07-13 5:32:21,288.77,25,14,Trip Completed,UberX,Cash,Rainy
4469,Manyata Tech Park,BTM Layout,2021-07-13 3:50:03,,,0,0,,No Cars Available,UberGo,,Rainy
4470,ISKCON Temple,Phoenix Marketcity,2021-07-13 3:55:10,2021-07-13 4:09:39,2021-07-13 5:29:10,327.13,40,12,Trip Completed,UberGo,Cash,Cloudy
4471,Kempegowda International Airport (KIAL),BTM Layout,2021-07-13 3:55:54,,,0,0,78,Trip Cancelled,UberX,,Clear
4472,UB City,Kormangala Police Station,2021-07-13 3:58:00,,,0,0,,No Cars Available,UberXL,,Cloudy
4473,Koramangala Boho Street,Ejipura,2021-07-13 3:58:16,2021-07-13 4:02:21,2021-07-13 5:55:16,172.53,0,42,Trip Completed,UberGo,UPI,Rainy
4474,Whitefield,KR Puram Railway Station,2021-07-13 4:03:17,2021-07-13 4:08:33,2021-07-13 4:58:17,529.74,25,58,Trip Completed,UberX,Cash,Rainy
4475,Ejipura,Phoenix Marketcity,2021-07-13 4:07:13,2021-07-13 4:10:18,2021-07-13 5:13:13,607.91,25,8,Trip Completed,UberGo,UPI,Rainy
4476,Bangalore City Railway Station,KR Puram Railway Station,2021-07-13 4:11:06,2021-07-13 4:21:31,2021-07-13 5:23:06,844.02,25,20,Trip Completed,UberGo,UPI,Rainy
4477,Ejipura,HSR Layout,2021-07-13 4:13:56,2021-07-13 4:14:28,2021-07-13 6:04:56,80.88,25,35,Trip Completed,UberGo,Card,Cloudy
4478,Kempegowda International Airport (KIAL),Brigade Road,2021-07-13 4:17:53,2021-07-13 4:20:43,2021-07-13 5:25:53,451.5,0,42,Trip Completed,UberGo,Cash,Clear
4479,Bangalore Palace,Lalbagh Botanical Garden,2021-07-13 4:22:16,2021-07-13 4:29:30,2021-07-13 6:21:16,105,0,92,Trip Completed,UberXL,Card,Clear
4480,Embassy Tech Village,ISKCON Temple,2021-07-13 4:24:36,2021-07-13 4:27:54,2021-07-13 4:51:36,1322.33,40,22,Trip Completed,UberGo,Cash,Rainy
4481,Brigade Road,Majestic Bus Station,2021-07-13 4:32:49,2021-07-13 4:46:50,2021-07-13 5:09:49,81.13,25,61,Trip Completed,UberGo,UPI,Clear
4482,Lalbagh Botanical Garden,Church Street,2021-07-13 4:33:38,2021-07-13 4:35:39,2021-07-13 5:18:38,219.51,25,28,Trip Completed,UberGo,UPI,Rainy
4483,BTM Layout,Manyata Tech Park,2021-07-13 4:38:48,2021-07-13 4:44:00,2021-07-13 6:13:48,1225.94,40,1,Trip Completed,UberXL,Cash,Rainy
4484,Church Street,MG Road,2021-07-13 4:40:37,2021-07-13 4:54:54,2021-07-13 4:59:37,45,0,72,Trip Completed,UberGo,Cash,Clear
4485,Cubbon Park,Orion Mall,2021-07-13 4:42:02,2021-07-13 4:51:01,2021-07-13 5:43:02,412.7,25,39,Trip Completed,UberGo,Card,Rainy
4486,Manyata Tech Park,Indiranagar,2021-07-13 4:42:20,2021-07-13 4:50:55,2021-07-13 5:11:20,161,0,35,Trip Completed,UberXL,Cash,Clear
4487,Cubbon Park,Ejipura,2021-07-13 4:43:32,2021-07-13 4:56:39,2021-07-13 6:37:32,496.53,25,30,Trip Completed,UberXL,Cash,Rainy
4488,UB City,Lalbagh Botanical Garden,2021-07-13 4:43:35,2021-07-13 4:53:33,2021-07-13 6:24:35,77.75,25,4,Trip Completed,UberXL,Cash,Clear
4489,Kormangala Police Station,Lalbagh Botanical Garden,2021-07-13 4:45:54,2021-07-13 5:00:21,2021-07-13 6:24:54,283.5,25,18,Trip Completed,UberGo,Card,Rainy
4490,UB City,Lalbagh Botanical Garden,2021-07-13 4:46:08,2021-07-13 4:54:20,2021-07-13 5:02:08,77.75,25,33,Trip Completed,UberXL,Cash,Clear
4491,Brigade Road,Indiranagar,2021-07-13 4:49:07,2021-07-13 4:49:23,2021-07-13 5:32:07,256.77,25,18,Trip Completed,UberXL,UPI,Rainy
4492,Kempegowda International Airport (KIAL),ISKCON Temple,2021-07-13 4:49:20,2021-07-13 5:02:59,2021-07-13 6:17:20,1369.71,40,22,Trip Completed,UberGo,Card,Rainy
4493,Electronic City,Manyata Tech Park,2021-07-13 4:49:55,,,0,0,94,Trip Cancelled,UberXL,,Rainy
4494,HSR Layout,Electronic City,2021-07-13 4:50:27,2021-07-13 5:05:07,2021-07-13 5:59:27,175.5,0,10,Trip Completed,UberGo,UPI,Clear
4495,Ejipura,Manyata Tech Park,2021-07-13 4:50:41,2021-07-13 4:58:02,2021-07-13 5:54:41,249.88,25,4,Trip Completed,UberX,UPI,Cloudy
4496,Ejipura,Phoenix Marketcity,2021-07-13 4:50:45,,,0,0,,Trip Cancelled,UberXL,,Rainy
4497,Indiranagar,Church Street,2021-07-13 4:50:46,2021-07-13 5:01:03,2021-07-13 5:30:46,223.56,25,1,Trip Completed,UberX,Cash,Rainy
4498,Whitefield,Cubbon Park,2021-07-13 4:51:23,2021-07-13 4:54:55,2021-07-13 5:18:23,283.5,25,46,Trip Completed,UberGo,UPI,Clear
4499,Indiranagar,MG Road,2021-07-13 4:51:42,2021-07-13 4:53:35,2021-07-13 5:55:42,213.44,25,2,Trip Completed,UberXL,Cash,Rainy
4500,Electronic City,UB City,2021-07-13 4:53:06,2021-07-13 4:57:36,2021-07-13 6:25:06,840.78,25,3,Trip Completed,UberGo,Card,Rainy
4501,Bangalore Palace,Bangalore City Railway Station,2021-07-13 4:53:36,2021-07-13 5:03:28,2021-07-13 6:23:36,250.29,25,18,Trip Completed,UberX,Card,Rainy
4502,HSR Layout,Cubbon Park,2021-07-13 4:54:15,,,0,0,,Trip Cancelled,UberGo,,Rainy
4503,KR Puram Railway Station,Kempegowda International Airport (KIAL),2021-07-13 4:54:29,2021-07-13 5:02:11,2021-07-13 5:29:29,429.25,40,28,Trip Completed,UberXL,Cash,Cloudy
4504,UB City,Cubbon Park,2021-07-13 4:54:46,,,0,0,,Trip Cancelled,UberXL,,Cloudy
4505,Bangalore Palace,Koramangala Boho Street,2021-07-13 4:55:18,,,0,0,62,Trip Cancelled,UberX,,Rainy
4506,Manyata Tech Park,Kempegowda International Airport (KIAL),2021-07-13 4:55:29,2021-07-13 5:06:00,2021-07-13 6:03:29,1230.39,40,12,Trip Completed,UberGo,Cash,Rainy
4507,Lalbagh Botanical Garden,Ejipura,2021-07-13 4:56:20,2021-07-13 5:09:17,2021-07-13 5:20:20,348.3,0,27,Trip Completed,UberXL,UPI,Rainy
4508,HSR Layout,Ejipura,2021-07-13 4:57:03,2021-07-13 5:06:38,2021-07-13 6:16:03,86.5,25,21,Trip Completed,UberX,Card,Cloudy
4509,Phoenix Marketcity,Whitefield,2021-07-13 4:58:06,,,0,0,31,Trip Cancelled,UberXL,,Cloudy
4510,Embassy Tech Village,Whitefield,2021-07-13 4:58:10,,,0,0,,Trip Cancelled,UberXL,,Clear
4511,Embassy Tech Village,Ejipura,2021-07-13 4:58:21,,,0,0,,No Cars Available,UberGo,,Clear
4512,Kormangala Police Station,Ejipura,2021-07-13 4:58:26,2021-07-13 5:09:47,2021-07-13 6:28:26,165.24,0,27,Trip Completed,UberXL,Card,Rainy
4513,Majestic Bus Station,Kempegowda International Airport (KIAL),2021-07-13 4:59:16,2021-07-13 5:03:08,2021-07-13 6:14:16,1400.9,40,26,Trip Completed,UberGo,Cash,Rainy
4514,Electronic City,MG Road,2021-07-13 5:00:10,,,0,0,,No Cars Available,UberXL,,Cloudy
4515,HSR Layout,Bangalore City Railway Station,2021-07-13 5:04:11,,,0,0,13,Trip Cancelled,UberX,,Rainy
4516,Indiranagar,Bangalore Palace,2021-07-13 5:04:12,,,0,0,5,Trip Cancelled,UberXL,,Rainy
4517,Kempegowda International Airport (KIAL),Bangalore City Railway Station,2021-07-13 5:05:12,2021-07-13 5:17:34,2021-07-13 5:25:12,446.63,0,22,Trip Completed,UberGo,Card,Cloudy
4518,Bangalore City Railway Station,Majestic Bus Station,2021-07-13 5:05:16,2021-07-13 5:15:41,2021-07-13 7:04:16,45,0,17,Trip Completed,UberGo,UPI,Cloudy
4519,Kempegowda International Airport (KIAL),Electronic City,2021-07-13 5:05:37,2021-07-13 5:18:50,2021-07-13 5:31:37,667.63,80,4,Trip Completed,UberX,Card,Cloudy
4520,Electronic City,Koramangala Boho Street,2021-07-13 5:05:59,2021-07-13 5:09:06,2021-07-13 6:46:59,189.88,25,27,Trip Completed,UberXL,UPI,Cloudy
4521,Koramangala Boho Street,Majestic Bus Station,2021-07-13 5:06:08,2021-07-13 5:14:15,2021-07-13 6:01:08,121.88,0,40,Trip Completed,UberXL,Card,Clear
4522,Electronic City,Lalbagh Botanical Garden,2021-07-13 5:09:48,2021-07-13 5:14:55,2021-07-13 6:26:48,229.75,25,21,Trip Completed,UberX,UPI,Cloudy
4523,MG Road,Brigade Road,2021-07-13 5:10:28,2021-07-13 5:21:44,2021-07-13 5:46:28,45,0,14,Trip Completed,UberXL,Card,Cloudy
4524,ISKCON Temple,Brigade Road,2021-07-13 5:10:34,,,0,0,,Trip Cancelled,UberXL,,Rainy
4525,Koramangala Boho Street,KR Puram Railway Station,2021-07-13 5:12:03,2021-07-13 5:17:57,2021-07-13 5:31:03,756.95,25,38,Trip Completed,UberGo,Card,Rainy
4526,Phoenix Marketcity,Bangalore Palace,2021-07-13 5:12:15,2021-07-13 5:15:17,2021-07-13 6:28:15,944.87,40,46,Trip Completed,UberXL,Cash,Rainy
4527,Phoenix Marketcity,MG Road,2021-07-13 5:13:32,2021-07-13 5:26:48,2021-07-13 6:13:32,156.5,0,50,Trip Completed,UberXL,UPI,Clear
4528,Manyata Tech Park,Phoenix Marketcity,2021-07-13 5:13:35,2021-07-13 5:25:59,2021-07-13 5:44:35,175.88,25,12,Trip Completed,UberX,Card,Cloudy
4529,Kempegowda International Airport (KIAL),BTM Layout,2021-07-13 5:13:47,2021-07-13 5:27:14,2021-07-13 7:06:47,537.88,40,77,Trip Completed,UberX,UPI,Cloudy
4530,Embassy Tech Village,Indiranagar,2021-07-13 5:14:00,2021-07-13 5:27:02,2021-07-13 6:28:00,210,25,36,Trip Completed,UberGo,UPI,Clear
4531,Cubbon Park,Manyata Tech Park,2021-07-13 5:14:11,2021-07-13 5:19:39,2021-07-13 7:05:11,185.75,25,50,Trip Completed,UberXL,Card,Cloudy
4532,KR Puram Railway Station,Bangalore Palace,2021-07-13 5:14:57,,,0,0,13,Trip Cancelled,UberXL,,Rainy
4533,Phoenix Marketcity,Electronic City,2021-07-13 5:15:44,2021-07-13 5:17:54,2021-07-13 5:33:44,366.5,40,11,Trip Completed,UberXL,Card,Clear
4534,Church Street,ISKCON Temple,2021-07-13 5:17:08,2021-07-13 5:31:29,2021-07-13 6:35:08,140,0,5,Trip Completed,UberGo,Cash,Cloudy
4535,Bangalore City Railway Station,ISKCON Temple,2021-07-13 5:18:31,2021-07-13 5:28:23,2021-07-13 6:49:31,90.25,25,8,Trip Completed,UberGo,UPI,Clear
4536,ISKCON Temple,Kormangala Police Station,2021-07-13 5:19:47,2021-07-13 5:30:56,2021-07-13 7:12:47,217,25,37,Trip Completed,UberX,Cash,Clear
4537,Koramangala Boho Street,Embassy Tech Village,2021-07-13 5:19:51,,,0,0,,No Cars Available,UberGo,,Cloudy
4538,Indiranagar,Bangalore Palace,2021-07-13 5:19:53,2021-07-13 5:31:02,2021-07-13 6:58:53,372.2,0,34,Trip Completed,UberXL,UPI,Rainy
4539,Majestic Bus Station,BTM Layout,2021-07-13 5:20:05,2021-07-13 5:27:23,2021-07-13 6:23:05,156,0,18,Trip Completed,UberXL,UPI,Cloudy
4540,Embassy Tech Village,Koramangala Boho Street,2021-07-13 5:20:11,2021-07-13 5:23:06,2021-07-13 6:52:11,142.75,0,14,Trip Completed,UberGo,Card,Cloudy
4541,Manyata Tech Park,Whitefield,2021-07-13 5:20:12,2021-07-13 5:31:53,2021-07-13 5:50:12,972.81,0,18,Trip Completed,UberXL,Cash,Rainy
4542,MG Road,Embassy Tech Village,2021-07-13 5:20:16,2021-07-13 5:25:59,2021-07-13 6:10:16,210.13,25,17,Trip Completed,UberXL,UPI,Cloudy
4543,Bangalore Palace,ISKCON Temple,2021-07-13 5:20:59,2021-07-13 5:31:33,2021-07-13 7:17:59,96.38,25,27,Trip Completed,UberGo,Card,Cloudy
4544,Electronic City,Kempegowda International Airport (KIAL),2021-07-13 5:22:17,2021-07-13 5:28:02,2021-07-13 6:46:17,663.38,30,10,Trip Completed,UberGo,UPI,Cloudy
4545,Manyata Tech Park,HSR Layout,2021-07-13 5:22:30,2021-07-13 5:32:17,2021-07-13 6:51:30,339.88,40,33,Trip Completed,UberXL,Card,Clear
4546,Brigade Road,Church Street,2021-07-13 5:23:09,,,0,0,,No Cars Available,UberXL,,Clear
4547,Kempegowda International Airport (KIAL),Manyata Tech Park,2021-07-13 5:24:17,,,0,0,,No Cars Available,UberXL,,Clear
4548,Orion Mall,Koramangala Boho Street,2021-07-13 5:26:10,2021-07-13 5:30:27,2021-07-13 5:55:10,187.5,25,21,Trip Completed,UberX,Cash,Cloudy
4549,Ejipura,MG Road,2021-07-13 5:27:26,,,0,0,62,Trip Cancelled,UberX,,Rainy
4550,Koramangala Boho Street,Church Street,2021-07-13 5:27:44,,,0,0,,No Cars Available,UberX,,Clear
4551,Indiranagar,Manyata Tech Park,2021-07-13 5:28:12,2021-07-13 5:35:37,2021-07-13 7:01:12,562.14,25,42,Trip Completed,UberGo,UPI,Rainy
4552,Brigade Road,Manyata Tech Park,2021-07-13 5:28:29,2021-07-13 5:42:43,2021-07-13 7:00:29,203.88,25,40,Trip Completed,UberX,Card,Cloudy
4553,MG Road,Bangalore City Railway Station,2021-07-13 5:29:42,2021-07-13 5:37:39,2021-07-13 6:30:42,89.88,25,25,Trip Completed,UberGo,UPI,Clear
4554,Kormangala Police Station,Cubbon Park,2021-07-13 5:30:28,2021-07-13 5:43:19,2021-07-13 7:13:28,128.38,0,92,Trip Completed,UberGo,Card,Cloudy
4555,KR Puram Railway Station,Orion Mall,2021-07-13 5:31:53,,,0,0,,No Cars Available,UberX,,Rainy
4556,Embassy Tech Village,Ejipura,2021-07-13 5:34:20,2021-07-13 5:47:38,2021-07-13 7:32:20,137.25,0,25,Trip Completed,UberX,UPI,Clear
